#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
asleep-start-date-time,asleep-end-date-time,minutes-asleep
2017-03-20T08:31:00-04:00,2017-03-20T09:52:00-04:00,81
2017-03-21T00:46:00-04:00,2017-03-21T08:17:00-04:00,451
2017-03-21T23:36:00-04:00,2017-03-22T07:17:00-04:00,461
2017-03-23T01:03:00-04:00,2017-03-23T03:51:00-04:00,168
2017-03-23T06:45:00-04:00,2017-03-23T10:00:00-04:00,195
2017-03-23T23:16:00-04:00,2017-03-24T03:01:00-04:00,225
2017-03-24T16:18:00-04:00,2017-03-24T18:45:00-04:00,147
2017-03-24T22:16:00-04:00,2017-03-25T08:55:00-04:00,639
2017-03-26T00:30:00-04:00,2017-03-26T01:13:00-04:00,43
2017-03-26T03:00:00-04:00,2017-03-26T05:05:00-04:00,125
2017-03-26T05:20:00-04:00,2017-03-26T06:31:00-04:00,71
2017-03-26T06:45:00-04:00,2017-03-26T08:27:00-04:00,102
2017-03-26T22:05:00-04:00,2017-03-27T00:29:00-04:00,144
2017-03-27T02:15:00-04:00,2017-03-27T02:55:00-04:00,40
2017-03-27T07:02:00-04:00,2017-03-27T07:15:00-04:00,13
2017-03-27T08:00:00-04:00,2017-03-27T08:01:00-04:00,1
2017-03-27T22:04:00-04:00,2017-03-28T03:19:00-04:00,315
2017-03-28T03:50:00-04:00,2017-03-28T07:00:00-04:00,190
2017-03-29T00:47:00-04:00,2017-03-29T04:09:00-04:00,202
2017-03-29T10:46:00-04:00,2017-03-29T12:29:00-04:00,103
2017-03-29T23:30:00-04:00,2017-03-30T05:31:00-04:00,361
2017-03-30T05:59:00-04:00,2017-03-30T08:09:00-04:00,130
2017-03-30T16:45:00-04:00,2017-03-30T17:00:00-04:00,15
2017-03-31T00:36:00-04:00,2017-03-31T05:34:00-04:00,298
2017-03-31T05:45:00-04:00,2017-03-31T06:50:00-04:00,65
2017-03-31T14:50:00-04:00,2017-03-31T15:38:00-04:00,48
2017-03-31T23:21:00-04:00,2017-04-01T06:09:00-04:00,408
2017-04-02T00:15:00-04:00,2017-04-02T02:59:00-04:00,164
2017-04-02T03:15:00-04:00,2017-04-02T07:39:00-04:00,264
2017-04-02T07:48:00-04:00,2017-04-02T08:18:00-04:00,30
2017-04-02T09:32:00-04:00,2017-04-02T10:03:00-04:00,31
2017-04-02T10:08:00-04:00,2017-04-02T11:50:00-04:00,102
2017-04-02T23:18:00-04:00,2017-04-03T06:38:00-04:00,440
2017-04-04T00:30:00-04:00,2017-04-04T05:03:00-04:00,273
2017-04-04T05:08:00-04:00,2017-04-04T06:42:00-04:00,94
2017-04-04T22:53:00-04:00,2017-04-05T02:47:00-04:00,234
2017-04-05T03:12:00-04:00,2017-04-05T06:18:00-04:00,186
2017-04-05T06:45:00-04:00,2017-04-05T06:46:00-04:00,1
2017-04-06T01:42:00-04:00,2017-04-06T06:18:00-04:00,276
